ID ТУРУ,НАЗВА ТУРУ,ДЖЕРЕЛО,ТУРОПЕРАТОР,ОСНОВНИЙ НАПРЯМОК,СЕРЕДНЯ ЦІНА,СЕРЕДНЯ ЦІНА ПО НАПРЯМКУ,МЕДІАННА ЦІНА ПО НАПРЯМКУ,ВІДХИЛЕННЯ ВІД СЕРЕДНЬОЇ ЦІНИ,ВІДХИЛЕННЯ ВІД МЕДІАННОЇ ЦІНИ,% ВІДХИЛЕННЯ ВІД МЕДІАНИ,ПОЗИЦІЯ ЗА ЦІНОЮ В НАПРЯМКУ,РІЗНИЦЯ ДО МІНІМАЛЬНОЇ ЦІНИ,ЗАГАЛЬНИЙ VALUE SCORE,СЕРЕДНІЙ VALUE SCORE ПО РИНКУ,ВІДХИЛЕННЯ VALUE ВІД РИНКУ,ПОЗИЦІОНУВАННЯ,КІЛЬКІСТЬ ТУРІВ В НАПРЯМКУ,КІЛЬКІСТЬ ТУРІВ EUROTRIPS,КІЛЬКІСТЬ КОНКУРЕНТНИХ ТУРІВ,ЧАСТКА EUROTRIPS,ЧАСТКА КОНКУРЕНТІВ
EUR-1,Адріатичне море Італії (3 ночі),EUROTRIPS,Eurotrips,Італія,244,340,338,-96,-94,"-0,28",28,105,"0,53","0,63",-10%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
EUR-2,Вікенд у Амстердамі,EUROTRIPS,Eurotrips,Нідерланди,289,349,348,-60,-59,"-16,83%",8,94,"0,65","0,70",-4%,ДЕШЕВИЙ,32,1,31,"0,03","0,97"
EUR-3,Балтійський круїз БЕЗ НІЧНИХ,EUROTRIPS,Eurotrips,Латвія,299,299,299,0,0,"0,00%",1,0,"0,80","0,80",0%,РИНКОВА ЦІНА,1,1,0,"1,00","0,00"
EUR-4,Венеція без нічних,EUROTRIPS,Eurotrips,Італія,309,340,338,-31,-29,"-8,51%",46,170,"0,76","0,63",13%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
EUR-5,Вікенд у Відні + Зальцбург,EUROTRIPS,Eurotrips,Австрія,229,210,199,19,30,"15,08%",24,134,"0,73","0,63",9%,ДОРОГИЙ,39,3,36,"0,08","0,92"
EUR-6,Будапешт – Відень,EUROTRIPS,Eurotrips,Угорщина,149,162,159,-13,-10,"-6,44%",6,60,"0,72","0,63",9%,РИНКОВА ЦІНА,12,2,10,"0,17","0,83"
EUR-7,Вікенд у Трансильванії + Трансфагараш,EUROTRIPS,Eurotrips,Румунія,99,167,160,-68,-61,"-38,13%",1,0,"0,57","0,68",-11%,ДЕШЕВИЙ,21,3,18,"0,14","0,86"
EUR-8,Вікенд у Венеції,EUROTRIPS,Eurotrips,Італія,149,340,338,-191,-189,"-55,88%",3,10,"0,42","0,63",-21%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
EUR-9,Вихідні у Празі + Дрезден,EUROTRIPS,Eurotrips,Чехія,129,204,199,-75,-70,"-35,18%",3,34,"0,56","0,68",-11%,ДЕШЕВИЙ,22,3,19,"0,14","0,86"
EUR-10,Вікенд у Празі + Дрезден БЕЗ НІЧНИХ,EUROTRIPS,Eurotrips,Чехія,199,204,199,-5,0,"0,00%",11,104,"0,75","0,68",7%,РИНКОВА ЦІНА,22,3,19,"0,14","0,86"
EUR-11,Вікенд у Трансильванії + Бухарест,EUROTRIPS,Eurotrips,Румунія,159,167,160,-8,-1,"-0,63%",10,60,"0,73","0,68",5%,РИНКОВА ЦІНА,21,3,18,"0,14","0,86"
EUR-12,Італійські різдвяні ярмарки,EUROTRIPS,Eurotrips,Італія,229,340,338,-111,-109,"-32,20%",22,90,"0,58","0,63",-5%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
EUR-13,Канікули в Барселоні,EUROTRIPS,Eurotrips,Іспанія,399,538,505,-139,-106,"-20,91%",4,57,"0,56","0,64",-8%,ДЕШЕВИЙ,22,2,20,"0,09","0,91"
EUR-14,Канікули в Енерджиландії + Краків БЕЗ НІЧНИХ,EUROTRIPS,Eurotrips,Польща,129,189,147,-60,-18,"-12,24%",3,30,"0,73","0,60",13%,РИНКОВА ЦІНА,16,4,12,"0,25","0,75"
EUR-15,Краків Закопане Морське Око БЕЗ НІЧНИХ,EUROTRIPS,Eurotrips,Польща,99,189,147,-90,-48,"-32,65%",1,0,"0,67","0,60",7%,ДЕШЕВИЙ,16,4,12,"0,25","0,75"
EUR-16,Найкращі пляжі Європи,EUROTRIPS,Eurotrips,Франція,399,366,352,33,47,"13,35%",46,202,"0,62","0,70",-8%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
EUR-17,Мілан — Комо — Альпи,EUROTRIPS,Eurotrips,Італія,219,340,338,-121,-119,"-35,16%",16,80,"0,64","0,63",1%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
EUR-18,Морська Італія (7 ночей на Лідо-ді-Єзоло),EUROTRIPS,Eurotrips,Італія,549,340,338,209,211,"62,55%",98,410,"0,36","0,63",-27%,ДОРОГИЙ,106,11,95,"0,10","0,90"
EUR-19,Новий рік у Кракові БЕЗ НІЧНИХ,EUROTRIPS,Eurotrips,Польща,129,189,147,-60,-18,"-12,24%",3,30,"0,73","0,60",13%,РИНКОВА ЦІНА,16,4,12,"0,25","0,75"
EUR-20,Новий рік у Мілані,EUROTRIPS,Eurotrips,Італія,229,340,338,-111,-109,"-32,20%",22,90,"0,58","0,63",-5%,ДЕШЕВИЙ,106,11,95,"0,10","0,90"
EUR-21,Вікенд у Будапешті + Відень,EUROTRIPS,Eurotrips,Угорщина,109,162,159,-53,-50,"-31,55%",3,20,"0,63","0,63",0%,ДЕШЕВИЙ,12,2,10,"0,17","0,83"
EUR-22,Новий рік у Венеції БЕЗ НІЧНИХ,EUROTRIPS,Eurotrips,Італія,309,340,338,-31,-29,"-8,51%",46,170,"0,76","0,63",13%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
EUR-23,Новий рік у Римі,EUROTRIPS,Eurotrips,Італія,329,340,338,-11,-9,"-2,59%",50,190,"0,63","0,63",0%,РИНКОВА ЦІНА,106,11,95,"0,10","0,90"
EUR-24,Париж + Нормандія,EUROTRIPS,Eurotrips,Франція,389,366,352,23,37,"10,51%",41,192,"0,65","0,70",-5%,РИНКОВА ЦІНА,71,3,68,"0,04","0,96"
EUR-25,Мон-Сен-Мішель – Париж – Брюссель,EUROTRIPS,Eurotrips,Франція,449,366,352,83,97,"27,56%",56,252,"0,64","0,70",-6%,ДОРОГИЙ,71,3,68,"0,04","0,96"
EUR-26,Південна Італія,EUROTRIPS,Eurotrips,Італія,394,340,338,54,56,"16,65%",77,255,"0,63","0,63",0%,ДОРОГИЙ,106,11,95,"0,10","0,90"
