,,,Адріатичне море Італії (3 ночі),EUR-1
,,,Вікенд у Амстердамі,EUR-2
,,,Балтійський круїз БЕЗ НІЧНИХ,EUR-3
,,,Венеція без нічних,EUR-4
,,,Вікенд у Відні + Зальцбург,EUR-5
,,,Будапешт – Відень,EUR-6
,,,Вікенд у Трансильванії + Трансфагараш,EUR-7
,,,Вікенд у Венеції,EUR-8
,,,Вихідні у Празі + Дрезден,EUR-9
,,,Вікенд у Празі + Дрезден БЕЗ НІЧНИХ,EUR-10
,,,Вікенд у Трансильванії + Бухарест,EUR-11
,,,Італійські різдвяні ярмарки,EUR-12
,,,Канікули в Барселоні,EUR-13
,,,Канікули в Енерджиландії + Краків БЕЗ НІЧНИХ,EUR-14
,,,Краків Закопане Морське Око БЕЗ НІЧНИХ,EUR-15
,,,Найкращі пляжі Європи,EUR-16
,,,Мілан — Комо — Альпи,EUR-17
,,,Морська Італія (7 ночей на Лідо-ді-Єзоло),EUR-18
,,,Новий рік у Кракові БЕЗ НІЧНИХ,EUR-19
,,,Новий рік у Мілані,EUR-20
,,,Вікенд у Будапешті + Відень,EUR-21
,,,Новий рік у Венеції БЕЗ НІЧНИХ,EUR-22
,,,Новий рік у Римі,EUR-23
,,,Париж + Нормандія,EUR-24
,,,Мон-Сен-Мішель – Париж – Брюссель,EUR-25
,,,Південна Італія,EUR-26
,,,Пікнік в Альпах + Гальштат,EUR-27
,,,Прага-Відень-Будапешт,EUR-28
,,,Римські канікули,EUR-29
,,,Різдвяний вікенд у Кракові БЕЗ НІЧНИХ,EUR-30
,,,Скандинавія + Язик Троля,EUR-31
,,,Сонце Море Барселона,EUR-32
,,,Сонячна Греція: Simeon,EUR-33
,,,Сонячна Греція: Asteris Village,EUR-34
,,,Стамбул,EUR-35
,,,Вікенд у Будапешті + Відень,EUR-36
,,,Хелловін у Трансильванії + Бухарест,EUR-37
,,,Чорногорія: де море торкається гір,EUR-38
,,,Швейцарія,EUR-39
,,,Амурний тиждень в Амстердамі і Парижі!!!,ACC-1
,,,"Три щасливих смайлика: Амстердам, Париж, Рим + Лазурове узбережжя!",ACC-2
,,,Мільйон посмішок... або 4 дні в Амстердамі!,ACC-3
,,,"Вояж в Париж  Нормандія, Замки Луари + Люксембург",ACC-4
,,,"Париж, квіти..... і Компліменти!  Амстердам, Брюссель, Париж, Люксембург, Кельн",ACC-5
,,,Три дні в Парижі + Діснейленд,ACC-6
,,,Амурні пригоди в Амстердамі і Парижі!!!,ACC-7
,,,Амстердам та Париж... запалив та привабив...,ACC-8
,,,"Яскравий Бенілюкс: Нідерланди, Бельгія та Люксембург!",ACC-9
,,,"Французький Каприз   4 дні в Парижі + Нормандія, долина Луари, Мон-Сен-Мішель!",ACC-10
,,,"Вітаю, милий Амстердам!",ACC-11
,,,"Бонжур Лямур або 3 дні в Парижі! ...Париж, Діснейленд та Люксембург...",ACC-12
,,,Любовне зізнання: Відень + Прага!,ACC-13
,,,"Бонжорно, Італія + Швейцарія!",ACC-14
,,,"Дивовижний світ  4 дні в Швейцарії Женева, Берн, Люцерн + Монблан",ACC-15
,,,Святкова Прага!!! Виїзд з Києва,ACC-16
,,,Прикольними містами: Дрезден + Прага + Брно + Краків!!!,ACC-17
,,,"Мюнхен і компанія: Краків, Прага, Відень!",ACC-18
,,,"Душевний Вікенд   Краків, Прага, Відень, Будапешт + Егер",ACC-19
,,,"Відень, я вже їду!",ACC-20
,,,Французька для початківців  Париж+ Діснейленд,ACC-21
,,,"Вікенд на трьох!  Краків, Відень, Будапешт",ACC-22
,,,Секрети смаку: вся Швейцарія + Зальцбург та Відень!!!,ACC-23
